addedAt,addedBy,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,albumType,albumUpc,albumUrl,artistFollowers,artistGenres,artistName,artistPopularity,artistUrl,isLikedByUser,isLocal,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackIsrc,trackName,trackNumber,trackPopularity,trackUrl
2023-02-18T18:32:40Z,l59lqd55hcp1rmlg1xqbdxv6l,Miley Cyrus,Flowers,26,Columbia,2023-01-13,single,196589803047,https://open.spotify.com/album/7I0tjwFtxUwBC1vgyeMAax,23019746,Pop,Miley Cyrus,84,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,false,stream,,03:20,0.0632,0.707,0.681,5.15E-6,0,0.0322,-4.325,1,0.0668,117.999,4,0.646,USSM12209777,Flowers,1,33,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
2023-02-22T13:29:07Z,l59lqd55hcp1rmlg1xqbdxv6l,Feid,SIXDO,81,UMLE - Latino,2022-12-02,single,00602455025401,https://open.spotify.com/album/31L7J7AO993tSBxAunoeoa,9747588,"Colombian Pop, Pop Reggaeton, Reggaeton, Reggaeton Colombiano, Trap Latino, Urbano Latino",Feid,91,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,false,stream,,02:48,0.114,0.743,0.831,6.43E-5,8,0.35,-4.042,0,0.0584,95.975,4,0.609,USUM72222460,CHORRITO PA LAS ANIMAS,2,85,https://open.spotify.com/track/0CYTGMBYkwUxrj1MWDLrC5
2023-09-03T23:50:01Z,l59lqd55hcp1rmlg1xqbdxv6l,O.C.A & Fede Meyer,MODELO DE REVISTA,45,DUNKIN RECORDS,2023-03-03,single,5063212409578,https://open.spotify.com/album/6pWYCLQYYWppbOXHzp57si,7713,,O.C.A,36,https://open.spotify.com/artist/4ljWZPWiU8WoNY9yeYhPGm,false,stream,Fede Meyer,02:29,0.08,0.908,0.629,3.44E-5,8,0.229,-5.904,1,0.265,128.049,4,0.447,GX8KD2305917,MODELO DE REVISTA,1,53,https://open.spotify.com/track/5uR4qwcghhjUbPyouPLNEU
2023-09-03T23:50:45Z,l59lqd55hcp1rmlg1xqbdxv6l,Quevedo,DONDE QUIERO ESTAR,87,Quevedo,2023-01-20,album,197338933862,https://open.spotify.com/album/156gxGFDxadwiIC3Bfwmj3,3931474,"Rap Canario, Trap Latino, Urbano Latino",Quevedo,84,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,false,stream,,02:40,0.249,0.724,0.631,0.0,4,0.213,-4.42,0,0.0686,176.076,4,0.957,BK4DA2215298,WANDA,12,81,https://open.spotify.com/track/0Iozrbed8spxoBnmtBMshO
2023-09-03T23:50:56Z,l59lqd55hcp1rmlg1xqbdxv6l,Bruno Mars,Unorthodox Jukebox,91,Atlantic Records,2012-12-07,album,075679960658,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI,53074661,"Dance Pop, Pop",Bruno Mars,88,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,false,stream,,03:33,0.932,0.612,0.28,0.0,0,0.088,-8.648,1,0.0434,72.795,4,0.387,USAT21206701,When I Was Your Man,6,92,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh
2023-09-03T23:51:05Z,l59lqd55hcp1rmlg1xqbdxv6l,Bruno Mars,Unorthodox Jukebox,91,Atlantic Records,2012-12-07,album,075679960658,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI,53074661,"Dance Pop, Pop",Bruno Mars,88,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,false,stream,,03:53,0.049,0.726,0.698,0.0,5,0.309,-4.165,1,0.0431,143.994,4,0.867,USAT21203287,Locked out of Heaven,2,92,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
2023-09-03T23:51:13Z,l59lqd55hcp1rmlg1xqbdxv6l,Eladio Carrion,3MEN2 KBRN,83,Rimas Entertainment LLC,2023-03-17,album,197188331313,https://open.spotify.com/album/6BGN5CVd7koJApotl5Bj8u,6112403,"Trap Boricua, Trap Latino, Trap Triste, Urbano Latino",Eladio Carrion,84,https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,false,stream,Myke Towers,04:00,0.564,0.469,0.639,0.0,10,0.11,-5.381,0,0.32,172.37,3,0.534,QM4TX2344392,Si La Calle Llama - Remix,9,77,https://open.spotify.com/track/3qXZqXGniqNt3PK2CBSZgM
2023-09-03T23:51:18Z,l59lqd55hcp1rmlg1xqbdxv6l,Taiu & Milo j,Rara Vez,79,Universal Music Argentina S.A.,2023-02-08,single,00602455261250,https://open.spotify.com/album/26wRfIX4WqKLKHll9O3KnF,56386,Trap Argentino,Taiu,70,https://open.spotify.com/artist/5szJHKg5xeUlQ9pTqzdpic,false,stream,Milo j,02:08,0.176,0.838,0.708,0.0,5,0.343,-4.668,0,0.166,119.984,4,0.96,ARUM72300004,Rara Vez,1,87,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR
2023-09-03T23:51:29Z,l59lqd55hcp1rmlg1xqbdxv6l,BM & Phontana,M.A (Mejores Amigos),22,WESAISONS,2022-09-20,single,694365508846,https://open.spotify.com/album/2ESUDQUE3ku1wEBCO5RKG6,694794,Previa,BM,74,https://open.spotify.com/artist/5TP8Ubo4jLKEi4Mw2O8fAk,false,stream,Phontana,02:38,0.298,0.746,0.729,0.0,7,0.271,-5.855,1,0.063,87.971,4,0.755,QZTVM2225505,M.A (Mejores Amigos),1,29,https://open.spotify.com/track/1eIDsKCLwZF6CJK8pOgHX5
2023-09-03T23:51:35Z,l59lqd55hcp1rmlg1xqbdxv6l,Saiko & The Prodigiez,Sikora,58,2023 SAIKO,2023-02-10,single,197187952922,https://open.spotify.com/album/2mpAg33X8hrzISDjzcZm5u,608005,"Trap Latino, Urbano Espanol, Urbano Latino",Saiko,77,https://open.spotify.com/artist/2O8vbr4RYPpk6MRA4fio7u,false,stream,The Prodigiez,02:41,0.0402,0.808,0.816,1.12E-6,2,0.0551,-3.375,1,0.132,122.084,4,0.722,QM4TW2344547,Sikora,1,66,https://open.spotify.com/track/3xfWkp003WhKYWAk6vO0wv
